"iteration steps","retained information l1 average"
"0","0.4999427669113012"
"1","0.42851946941507185"
"2","0.35385776095054533"
"3","0.28411913651432585"
"4","0.22226036235080626"
"5","0.16876323726823203"
"6","0.12427452378784068"
"7","0.08898158499307796"
"8","0.06167369387252635"
"9","0.04204812269296203"
"10","0.02985608349601647"
"11","0.023348774066012698"
"12","0.019049599700147638"
"13","0.016085453310659126"
"14","0.014092507872624149"
"15","0.012730080134825392"
"16","0.011584811121808456"
"17","0.010582925285801"
"18","0.009978594822687547"
"19","0.009481291509054432"
"20","0.008924707177944859"
"21","0.008583328953342408"
"22","0.008241987944676194"
"23","0.00801046186307634"
"24","0.007777040106291485"
"25","0.007519377040564088"
"26","0.007279494223661273"
"27","0.007070379526762526"
"28","0.006940657591969523"
"29","0.0068466095744929185"
"30","0.006758137496752992"
"31","0.006658475120640731"
"32","0.006557640035985388"
"33","0.00643852311782212"
"34","0.006332138093745621"
"35","0.006258364800099018"
"36","0.0061844812890113655"
"37","0.006166563727955531"
"38","0.006121291946781123"
"39","0.006053013635792204"
"40","0.00598739045827472"
"41","0.005914003002271339"
"42","0.005845495542603065"
"43","0.005808893290444387"
"44","0.005739648059828111"
"45","0.0057279324602121096"
"46","0.005704964889707446"
"47","0.005654429450629827"
"48","0.0056058774346054155"
"49","0.005563815768677602"
"50","0.0055545274016585815"
"51","0.005494785908359967"
"52","0.005477805590623949"
"53","0.00546356129021588"
"54","0.005414220891400128"
"55","0.005401383005107789"
"56","0.005398715779697042"
"57","0.005379925730351217"
"58","0.005316789380747332"
"59","0.00526582219045786"
"60","0.00523886828505547"
"61","0.0052459953003854065"
"62","0.005247810107717895"
"63","0.005202972373104749"
"64","0.00520417997325304"
"65","0.005204637819074324"
"66","0.005141356970088675"
"67","0.0051057077086101785"
"68","0.005079695951399333"
"69","0.005108610380834322"
"70","0.005104827318570755"
"71","0.005093375271053211"
"72","0.005084810259593498"
"73","0.005040062396867963"
"74","0.0050381184585550284"
"75","0.005035090714771224"
"76","0.005014954825097834"
"77","0.004978134565684559"
"78","0.004974858269184088"
"79","0.004997716710202932"
"80","0.004991826122257557"
"81","0.0049801621868931015"
"82","0.004959114148580514"
"83","0.004921642803764379"
"84","0.004948519731926376"
"85","0.004939458605024817"
"86","0.004906805372954895"
"87","0.004876849630580796"
"88","0.004874378758096626"
"89","0.004862160795531557"
"90","0.004861253233249204"
"91","0.0048406520736982185"
"92","0.004872409092373486"
"93","0.00488465236789392"
"94","0.004872652516195659"
"95","0.004853929745529872"
"96","0.004850610353692696"
"97","0.004848350735103835"
"98","0.004827442019325327"
"99","0.004831989442964865"
"100","0.004809733578847664"
"101","0.0048139829228861395"
"102","0.004803041791515072"
"103","0.004768926101223213"
"104","0.004776800496234098"
"105","0.0047759525851309124"
"106","0.004771460114557615"
"107","0.004773553698597659"
"108","0.004766200437962718"
"109","0.004781308427388833"
"110","0.004773042403854195"
"111","0.0047743611598570716"
"112","0.004765862138683567"
"113","0.004771461004831346"
"114","0.004737992007609617"
"115","0.004736182117683256"
"116","0.004742608430733941"
"117","0.004722680180203154"
"118","0.004711713741916585"
"119","0.004680430807862258"
"120","0.004695063510028284"
"121","0.004703930751404076"
"122","0.004680651595585633"
"123","0.004661353767399495"
"124","0.00467792677780859"
"125","0.0047073829483539305"
"126","0.004703311299177891"
"127","0.004712313027797469"
"128","0.004704914733271882"
"129","0.004702210290787644"
"130","0.004689509988007216"
"131","0.004675264328831534"
"132","0.004647120904651984"
"133","0.004656551988111954"
"134","0.004660405810149142"
"135","0.004650940260794504"
"136","0.004648371440343085"
"137","0.004672356230390084"
"138","0.004690019321116191"
"139","0.004695266624072384"
"140","0.004666462829202119"
"141","0.004658852409219382"
"142","0.004640027512751771"
"143","0.004619599183161723"
"144","0.004621473335199872"
"145","0.00463799337188586"
"146","0.004638943429524063"
"147","0.004656930920300639"
"148","0.00465089084381437"
"149","0.004657828692460665"
"150","0.00465504028599933"
"151","0.004650373786710939"
"152","0.004636366594154473"
"153","0.004613652839582767"
"154","0.004605967268408255"
"155","0.004572994253334579"
"156","0.004609340240887025"
"157","0.0046467293603376265"
"158","0.004635904910128873"
"159","0.004609313209142981"
"160","0.004585957874650791"
"161","0.0045682520800129295"
"162","0.0045814046886684815"
"163","0.004603760775571896"
"164","0.004626065158781594"
"165","0.0046221336263391035"
"166","0.004629892519352602"
"167","0.004597935912173987"
"168","0.004544592281186698"
"169","0.004556757477502723"
"170","0.004587255813284001"
"171","0.004604426203201575"
"172","0.004595180334569739"
"173","0.004584712335070441"
"174","0.0045903394472885314"
"175","0.004572514393470479"
"176","0.004574342300491609"
"177","0.004598943211025726"
"178","0.004590710544821311"
"179","0.004560311218344509"
"180","0.004563209950820487"
"181","0.004561645306963838"
"182","0.004542071755628389"
"183","0.004534522848361269"
"184","0.004540841579394696"
"185","0.004568022659581017"
"186","0.004566924919598422"
"187","0.004574304303509773"
"188","0.0045506578743159136"
