"iteration steps","retained information l1 average"
"0","0.4839346285990145"
"1","0.43746753377423625"
"2","0.37916182434887885"
"3","0.32200142716954544"
"4","0.2690258661149252"
"5","0.2214875813441682"
"6","0.18042250372407526"
"7","0.14563362015458683"
"8","0.11738893596114552"
"9","0.09540243417946521"
"10","0.07892049669574014"
"11","0.06684259808240367"
"12","0.057347112860439704"
"13","0.04961610553143351"
"14","0.043281627806407125"
"15","0.03802680830086937"
"16","0.033563138220375655"
"17","0.029743832637399468"
"18","0.02657052912608261"
"19","0.02387784807843391"
"20","0.02157469684127121"
"21","0.019561603779240905"
"22","0.01778418108294703"
"23","0.016244630193109982"
"24","0.014958360703748454"
"25","0.013844454362272432"
"26","0.012818597607472504"
"27","0.011939428743444912"
"28","0.011209132686976788"
"29","0.010530849546379777"
"30","0.00994037846167377"
"31","0.009426960709997967"
"32","0.008993556706743698"
"33","0.008598571062518528"
"34","0.008236690806317571"
"35","0.007920400221373372"
"36","0.007604383523162023"
"37","0.007318600940628559"
"38","0.007068265571105948"
"39","0.006854521737340902"
"40","0.006647875584056817"
"41","0.006443898159382098"
"42","0.006248099103873829"
"43","0.00611188096072386"
"44","0.00593695602310524"
"45","0.005799157408995025"
"46","0.005676321299813147"
"47","0.005570574261781965"
"48","0.0054773984296954"
"49","0.0053925993529688665"
"50","0.0052833218777316475"
"51","0.00518501171922354"
"52","0.005119134145358432"
"53","0.005070198103514021"
"54","0.004999247796190906"
"55","0.004946234824573834"
"56","0.004911709298851405"
"57","0.0048891703288625335"
"58","0.004832546245593115"
"59","0.004798370489834326"
"60","0.004767864340635542"
"61","0.004757203730454043"
"62","0.004741878364752908"
"63","0.004725512657575169"
"64","0.004684608955754312"
"65","0.0046699808898130165"
"66","0.0046624841077556834"
"67","0.00465197671624221"
"68","0.004647269826301975"
"69","0.0046280526282853444"
"70","0.004604682273126517"
"71","0.004610256286877091"
"72","0.0046103662406668175"
"73","0.004585210007525575"
"74","0.004536477552145389"
"75","0.004507797998237664"
"76","0.004517737210921024"
"77","0.004511473188955004"
"78","0.004478630647324371"
"79","0.004482852825187189"
"80","0.004484770338161308"
"81","0.004469119063774417"
"82","0.004427696512675975"
"83","0.00440696745133446"
"84","0.004395764713724427"
"85","0.0043882388553677315"
"86","0.004385973543963484"
"87","0.004392386026735076"
"88","0.004395453521018578"
"89","0.004378380597256789"
"90","0.004332490953041434"
"91","0.004294182651890655"
"92","0.004241581723357124"
"93","0.004204734103719755"
"94","0.004154693893442887"
"95","0.004137246299678191"
"96","0.004111136059808617"
"97","0.004091807470836517"
"98","0.004068409280751976"
"99","0.004073262100576722"
"100","0.004073165445339427"
"101","0.004082081643556568"
"102","0.0040792803310892925"
"103","0.004056256894316576"
"104","0.0040599365546346786"
"105","0.004066021148908283"
"106","0.0040700368602374195"
"107","0.004079175994735435"
"108","0.004068683851605459"
"109","0.004066228190270093"
"110","0.004075876721323363"
"111","0.004073142530498352"
"112","0.004067816167383588"
"113","0.004049305736241135"
"114","0.004059235060568812"
"115","0.004018316736582657"
"116","0.004008106535319537"
"117","0.003975408030688655"
"118","0.003928796889862251"
"119","0.003907152022613718"
"120","0.003907779418102939"
"121","0.003879669428947931"
"122","0.003844354452190162"
"123","0.003808514993567214"
"124","0.0037806712971622776"
"125","0.0037737789467452835"
"126","0.0037616130273362292"
"127","0.0037580166213301664"
"128","0.0037457084157469806"
"129","0.0037463197021531374"
"130","0.003756429281919381"
"131","0.003777613393543201"
"132","0.0037545131884044653"
"133","0.003745033602646358"
"134","0.003773912778472262"
"135","0.003759607846303706"
"136","0.003741581128202349"
"137","0.0037245282208519977"
"138","0.0037311834575183885"
"139","0.0037129556864738135"
"140","0.0036873984459115843"
"141","0.0036747036128483212"
"142","0.003685072023101842"
"143","0.003692409626953165"
"144","0.003688945688175022"
"145","0.003656706477665899"
"146","0.0036361121043453682"
"147","0.003627260509073029"
"148","0.003603498166568733"
"149","0.0035727902979012173"
"150","0.0035517381504311303"
"151","0.003535753505487069"
"152","0.0035222083402069813"
"153","0.0035118522013085113"
"154","0.003503887238784618"
"155","0.0034900758760547513"
"156","0.003479868928080011"
"157","0.003468120044273114"
"158","0.003453075188339178"
"159","0.0034233172127252935"
"160","0.003409706377899927"
"161","0.003396837945884414"
"162","0.00339723448923801"
"163","0.003389895503295673"
"164","0.0033711241182911218"
"165","0.0033719932265550085"
