"iteration steps","retained probability average"
"0","0.5351888206601143"
"1","0.9305021740449593"
"2","0.871016459739767"
"3","0.8424681246373802"
"4","0.8352397628023754"
"5","0.8477672263613204"
"6","0.7885890723578632"
"7","0.7930628766035079"
"8","0.8027748179563787"
"9","0.8279415129224071"
"10","0.8635389983531786"
"11","0.8625099957179918"
"12","0.8587986656287103"
"13","0.8443356552164186"
"14","0.85917857799388"
"15","0.8800131021975539"
"16","0.8733488765601942"
"17","0.8602688031748403"
"18","0.8694157045247266"
"19","0.8802777056614286"
"20","0.8753677024281933"
"21","0.8789598612912232"
"22","0.8641545894782757"
"23","0.8742897746205562"
"24","0.8756411253014812"
"25","0.8850330541550647"
"26","0.8795536382129648"
"27","0.8767184393416392"
"28","0.8663241762353573"
"29","0.8815273963671644"
"30","0.8842576410953188"
"31","0.8793316442062497"
"32","0.8760936743608909"
"33","0.8760503410562523"
"34","0.8863143519987352"
"35","0.8860189746815013"
"36","0.8753073219556246"
"37","0.879083024575084"
"38","0.8851391466916538"
"39","0.8835260429221671"
"40","0.8801055791741237"
"41","0.8826883733435534"
"42","0.8788591805708711"
"43","0.8826730948069599"
"44","0.8748035089572659"
"45","0.8823646468177322"
"46","0.8818088835806702"
"47","0.8809623774414649"
"48","0.8812297593880793"
"49","0.8829585185361793"
"50","0.8884098520205589"
"51","0.8843104736800887"
"52","0.8837194679491222"
"53","0.8817212208226556"
"54","0.8796428900770843"
"55","0.8789309495198541"
"56","0.8894337232635007"
"57","0.8821779984596652"
"58","0.885010764496983"
"59","0.8859865947224899"
"60","0.8819555599216256"
"61","0.8810334517693263"
"62","0.8790638871683041"
"63","0.8813814344309503"
"64","0.8818811868916964"
"65","0.8838486657501199"
"66","0.8890692277153721"
"67","0.876491030009347"
"68","0.8702074727584841"
"69","0.8825080834166147"
"70","0.8871185550978408"
"71","0.8854267584742047"
"72","0.8860551070913789"
"73","0.8808218014414888"
"74","0.8821289979474386"
"75","0.8916318972746375"
"76","0.887411111278634"
"77","0.8732036242331378"
"78","0.8773756173736182"
"79","0.8940896348262322"
"80","0.8917577783428715"
"81","0.8832907041761792"
"82","0.8824885479026124"
"83","0.8781532633746975"
"84","0.8868055222887778"
"85","0.8933283692144323"
"86","0.8799840427876916"
"87","0.8796536909064162"
"88","0.8831162600987591"
"89","0.879600023937528"
"90","0.8845112571379287"
"91","0.8746078948571813"
"92","0.884640901061357"
"93","0.887142978347838"
"94","0.8814529893622967"
"95","0.8880504762814962"
"96","0.8960193141771015"
"97","0.8854800059480477"
"98","0.8810458471032325"
"99","0.8826067230038461"
"100","0.8774316801372334"
"101","0.8857907524640904"
"102","0.8953706325346138"
"103","0.8869005624752027"
"104","0.8746827183995629"
"105","0.8803812638198724"
"106","0.8812095742195379"
"107","0.8897627083622501"
"108","0.8854627250391058"
"109","0.8858202558849007"
"110","0.8799284543617978"
"111","0.8862683928590559"
"112","0.8799474053565064"
"113","0.8888119058444863"
"114","0.8784107335092267"
"115","0.8843598844471853"
"116","0.8877987839892739"
"117","0.881713102152571"
"118","0.8844132353106398"
"119","0.883305299411295"
"120","0.8844690514367539"
"121","0.8849079869186971"
"122","0.8889941144239856"
"123","0.8847017406372469"
"124","0.8752953331096797"
"125","0.8834884390694788"
"126","0.8834310103062307"
"127","0.8892637761496007"
"128","0.8880267560106586"
"129","0.8805293710096157"
"130","0.8885850318253506"
"131","0.8805707286234247"
"132","0.8820428116378025"
"133","0.8852352255245205"
"134","0.8883976941433502"
"135","0.8821905138980947"
"136","0.8796880343311932"
"137","0.8860884166095638"
"138","0.8841654806083534"
"139","0.8954872950495337"
"140","0.882280600166414"
"141","0.8760311820730567"
"142","0.8832175761455437"
"143","0.8883250189202954"
"144","0.8890568426719984"
"145","0.8830248143919743"
"146","0.8818219546542969"
"147","0.8853320209443336"
"148","0.8823313494000468"
"149","0.8812460448156344"
"150","0.8872802946728189"
"151","0.8847646009037271"
"152","0.8882997235050425"
"153","0.8864629856537795"
"154","0.8882013429986546"
"155","0.8747257039832766"
"156","0.8823718823766104"
"157","0.8911768271244364"
"158","0.8889722768124193"
"159","0.8877220130042406"
"160","0.8814241316597327"
"161","0.8820633332949365"
"162","0.8815116276516346"
"163","0.8856667773975642"
"164","0.8813726583146491"
"165","0.8894167558234767"
"166","0.8832078483738587"
"167","0.8860089257289655"
"168","0.8799100637756055"
"169","0.8819763930924819"
"170","0.8841031206952175"
"171","0.8920137709390837"
"172","0.8792862954246812"
"173","0.8832714783627307"
"174","0.8901201057361322"
"175","0.8835311823373195"
"176","0.8790325808222406"
"177","0.8845689822884742"
"178","0.8871637070388533"
"179","0.8841924394422677"
"180","0.8840071031072876"
"181","0.886465879418247"
"182","0.8831416817879654"
"183","0.8790238570660586"
"184","0.8849970595684136"
"185","0.8887295580352657"
"186","0.8846212294942234"
"187","0.8865301658969839"
"188","0.8787750554207014"
"189","0.8825717915099812"
"190","0.8813385304179974"
"191","0.8913430983340368"
"192","0.8885790022899164"
"193","0.8822884308296488"
"194","0.8800004523759708"
"195","0.8853579028524109"
"196","0.8838495776741183"
"197","0.8916121150483377"
"198","0.8896372113644611"
"199","0.8822928422415862"
"200","0.8828401344831218"
"201","0.8801567084947601"
"202","0.886804039812414"
"203","0.8878455202910118"
"204","0.8844945603812812"
"205","0.8797017149068416"
"206","0.8865468764354592"
"207","0.888693625649903"
"208","0.885820739059127"
"209","0.8817692463300772"
"210","0.8861339655474876"
"211","0.8892221807621535"
"212","0.8803400073503144"
"213","0.8845534681918799"
"214","0.8847081391219399"
"215","0.8814980983093846"
"216","0.8847315424476982"
"217","0.8845042508988991"
"218","0.8844794869242469"
"219","0.8817857927043223"
"220","0.8833067714946811"
"221","0.889085914833995"
"222","0.8872070333379088"
"223","0.8839046811955632"
"224","0.8823757524683606"
"225","0.8904529712168733"
"226","0.8851192922893096"
"227","0.8833040774904657"
"228","0.8820243173246854"
"229","0.8859583435024251"
"230","0.8892693894953118"
"231","0.8848550995375263"
"232","0.8865030509611824"
"233","0.8886955261044204"
"234","0.8833517360955011"
"235","0.8836584955177387"
"236","0.8873539867214276"
"237","0.8886070530820871"
"238","0.8780151136690983"
"239","0.8870293538641999"
"240","0.888995996057638"
"241","0.8868204842787236"
"242","0.8773849997369689"
"243","0.8817284868043498"
"244","0.885386173480656"
"245","0.8989077279355843"
"246","0.8843525836250046"
"247","0.8754706126861856"
"248","0.8848432243478601"
"249","0.8850297439732822"
"250","0.8917103176767704"
"251","0.8829883663333021"
"252","0.8894904630299425"
"253","0.8894627405621577"
"254","0.8816956545267022"
"255","0.8786978663937771"
"256","0.8853413409943459"
"257","0.8824612822890049"
"258","0.8900805958197452"
"259","0.8815953406278276"
"260","0.8879345931985881"
"261","0.8848438313306543"
"262","0.881543877175136"
"263","0.8898274570101057"
"264","0.8872962196799926"
"265","0.8800036690972047"
"266","0.8797770638146903"
"267","0.8838864856559667"
"268","0.8905596702412004"
"269","0.8868457729517831"
"270","0.8867769016709645"
"271","0.8838889379322064"
"272","0.8866663466172758"
"273","0.8906896964774933"
